[Epoch 1 | Batch 068 ] loss = 1.6014 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 069 ] loss = 1.6482 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 070 ] loss = 1.6951 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 071 ] loss = 1.6242 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 072 ] loss = 1.5845 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 073 ] loss = 1.6213 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 074 ] loss = 1.7127 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 075 ] loss = 1.6509 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 076 ] loss = 1.6616 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 077 ] loss = 1.5966 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 078 ] loss = 1.6114 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 079 ] loss = 1.6657 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 080 ] loss = 1.6210 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 081 ] loss = 1.5747 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 082 ] loss = 1.6475 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 083 ] loss = 1.5107 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 084 ] loss = 1.6376 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 085 ] loss = 1.5839 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 086 ] loss = 1.5414 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 087 ] loss = 1.4481 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 088 ] loss = 1.4765 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 089 ] loss = 1.5288 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 090 ] loss = 1.5460 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 091 ] loss = 1.5786 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 092 ] loss = 1.5432 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 093 ] loss = 1.5926 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 094 ] loss = 1.5708 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 095 ] loss = 1.4847 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 096 ] loss = 1.6019 L2 = 0.0000, Cosine = 1.0000
[Epoch 1 | Batch 097 ] loss = 1.4855 L2 = 0.0000, Cosine = 1.0000
Epoch [1] Test Acc: 35.24% 
[Epoch 2 | Batch 000 ] loss = 1.5882 L2 = 0.0111, Cosine = 0.9912
[Epoch 2 | Batch 001 ] loss = 1.5456 L2 = 0.0119, Cosine = 0.9870
[Epoch 2 | Batch 002 ] loss = 1.5299 L2 = 0.0129, Cosine = 0.9720
[Epoch 2 | Batch 003 ] loss = 1.5826 L2 = 0.0118, Cosine = 0.9840
[Epoch 2 | Batch 004 ] loss = 1.4860 L2 = 0.0112, Cosine = 0.9843
[Epoch 2 | Batch 005 ] loss = 1.4359 L2 = 0.0114, Cosine = 0.9904
[Epoch 2 | Batch 006 ] loss = 1.5379 L2 = 0.0124, Cosine = 0.9860
[Epoch 2 | Batch 007 ] loss = 1.4765 L2 = 0.0116, Cosine = 0.9929
[Epoch 2 | Batch 008 ] loss = 1.4676 L2 = 0.0146, Cosine = 0.9870
[Epoch 2 | Batch 009 ] loss = 1.4059 L2 = 0.0138, Cosine = 0.9810
[Epoch 2 | Batch 010 ] loss = 1.5104 L2 = 0.0129, Cosine = 0.9861
[Epoch 2 | Batch 011 ] loss = 1.4714 L2 = 0.0135, Cosine = 0.9877
[Epoch 2 | Batch 012 ] loss = 1.4975 L2 = 0.0131, Cosine = 0.9896
[Epoch 2 | Batch 013 ] loss = 1.3997 L2 = 0.0128, Cosine = 0.9853
[Epoch 2 | Batch 014 ] loss = 1.4444 L2 = 0.0149, Cosine = 0.9920
[Epoch 2 | Batch 015 ] loss = 1.3871 L2 = 0.0133, Cosine = 0.9836
[Epoch 2 | Batch 016 ] loss = 1.4398 L2 = 0.0143, Cosine = 0.9873
[Epoch 2 | Batch 017 ] loss = 1.5098 L2 = 0.0173, Cosine = 0.9884
[Epoch 2 | Batch 018 ] loss = 1.4164 L2 = 0.0151, Cosine = 0.9873
[Epoch 2 | Batch 019 ] loss = 1.4304 L2 = 0.0160, Cosine = 0.9784
[Epoch 2 | Batch 020 ] loss = 1.4792 L2 = 0.0134, Cosine = 0.9895
[Epoch 2 | Batch 021 ] loss = 1.4871 L2 = 0.0125, Cosine = 0.9927
[Epoch 2 | Batch 022 ] loss = 1.4452 L2 = 0.0129, Cosine = 0.9834
[Epoch 2 | Batch 023 ] loss = 1.4947 L2 = 0.0137, Cosine = 0.9918
[Epoch 2 | Batch 024 ] loss = 1.4023 L2 = 0.0119, Cosine = 0.9926
[Epoch 2 | Batch 025 ] loss = 1.4157 L2 = 0.0117, Cosine = 0.9890
[Epoch 2 | Batch 026 ] loss = 1.5931 L2 = 0.0137, Cosine = 0.9914
[Epoch 2 | Batch 027 ] loss = 1.4108 L2 = 0.0118, Cosine = 0.9894
[Epoch 2 | Batch 028 ] loss = 1.4964 L2 = 0.0130, Cosine = 0.9930
[Epoch 2 | Batch 029 ] loss = 1.4300 L2 = 0.0125, Cosine = 0.9850
[Epoch 2 | Batch 030 ] loss = 1.4341 L2 = 0.0131, Cosine = 0.9856
[Epoch 2 | Batch 031 ] loss = 1.4603 L2 = 0.0121, Cosine = 0.9842
[Epoch 2 | Batch 032 ] loss = 1.4910 L2 = 0.0129, Cosine = 0.9867
[Epoch 2 | Batch 033 ] loss = 1.4256 L2 = 0.0145, Cosine = 0.9805
[Epoch 2 | Batch 034 ] loss = 1.4295 L2 = 0.0133, Cosine = 0.9811
[Epoch 2 | Batch 035 ] loss = 1.4474 L2 = 0.0135, Cosine = 0.9891
[Epoch 2 | Batch 036 ] loss = 1.3819 L2 = 0.0127, Cosine = 0.9862
[Epoch 2 | Batch 037 ] loss = 1.3848 L2 = 0.0129, Cosine = 0.9905
[Epoch 2 | Batch 038 ] loss = 1.3319 L2 = 0.0134, Cosine = 0.9814
[Epoch 2 | Batch 039 ] loss = 1.3826 L2 = 0.0134, Cosine = 0.9845
[Epoch 2 | Batch 040 ] loss = 1.3085 L2 = 0.0132, Cosine = 0.9773
[Epoch 2 | Batch 041 ] loss = 1.3611 L2 = 0.0154, Cosine = 0.9758
[Epoch 2 | Batch 042 ] loss = 1.3689 L2 = 0.0139, Cosine = 0.9865
[Epoch 2 | Batch 043 ] loss = 1.3630 L2 = 0.0142, Cosine = 0.9823
[Epoch 2 | Batch 044 ] loss = 1.2938 L2 = 0.0130, Cosine = 0.9866
[Epoch 2 | Batch 045 ] loss = 1.3107 L2 = 0.0137, Cosine = 0.9829
[Epoch 2 | Batch 046 ] loss = 1.3220 L2 = 0.0134, Cosine = 0.9860
[Epoch 2 | Batch 047 ] loss = 1.3463 L2 = 0.0166, Cosine = 0.9803
[Epoch 2 | Batch 048 ] loss = 1.3435 L2 = 0.0157, Cosine = 0.9819
[Epoch 2 | Batch 049 ] loss = 1.3023 L2 = 0.0142, Cosine = 0.9832
[Epoch 2 | Batch 050 ] loss = 1.4051 L2 = 0.0152, Cosine = 0.9854
[Epoch 2 | Batch 051 ] loss = 1.3641 L2 = 0.0142, Cosine = 0.9884
[Epoch 2 | Batch 052 ] loss = 1.3467 L2 = 0.0143, Cosine = 0.9863
[Epoch 2 | Batch 053 ] loss = 1.3352 L2 = 0.0144, Cosine = 0.9855
[Epoch 2 | Batch 054 ] loss = 1.3245 L2 = 0.0136, Cosine = 0.9873
